fixed acidity;volatile acidity;citric acid;residual sugar;chlorides;free sulfur dioxide;total sulfur dioxide;density;pH;sulphates;alcohol;quality;density2;density3;density4
7.4;0.7;0.0;1.9;0.076;11.0;34.0;0.9978;3.51;0.56;9.4;5;0.4839999999999911;0.10647999999999706;0.023425599999999137
7.8;0.88;0.0;2.6;0.098;25.0;67.0;0.9968;3.2;0.68;9.8;5;1.0239999999999876;0.32767999999999403;0.10485759999999747
7.8;0.76;0.04;2.3;0.092;15.0;54.0;0.997;3.26;0.65;9.8;5;0.9000000000000016;0.27000000000000074;0.0810000000000003
11.2;0.28;0.56;1.9;0.075;17.0;60.0;0.998;3.16;0.58;9.8;6;0.40000000000000074;0.08000000000000022;0.01600000000000006
7.4;0.7;0.0;1.9;0.076;11.0;34.0;0.9978;3.51;0.56;9.4;5;0.4839999999999911;0.10647999999999706;0.023425599999999137
7.4;0.66;0.0;1.8;0.075;13.0;40.0;0.9978;3.51;0.56;9.4;5;0.4839999999999911;0.10647999999999706;0.023425599999999137
7.9;0.6;0.06;1.6;0.069;15.0;59.0;0.9964;3.3;0.46;9.4;5;1.2960000000000345;0.4665600000000185;0.1679616000000089
7.3;0.65;0.0;1.2;0.065;15.0;21.0;0.9946;3.39;0.47;10.0;7;2.9159999999999573;1.5746399999999654;0.850305599999975
7.8;0.58;0.02;2.0;0.073;9.0;18.0;0.9968;3.36;0.57;9.5;7;1.0239999999999876;0.32767999999999403;0.10485759999999747
7.5;0.5;0.36;6.1;0.071;17.0;102.0;0.9978;3.35;0.8;10.5;5;0.4839999999999911;0.10647999999999706;0.023425599999999137
6.7;0.58;0.08;1.8;0.09699999999999999;15.0;65.0;0.9959;3.28;0.54;9.2;5;1.6809999999999938;0.6892099999999963;0.28257609999999794
7.5;0.5;0.36;6.1;0.071;17.0;102.0;0.9978;3.35;0.8;10.5;5;0.4839999999999911;0.10647999999999706;0.023425599999999137
5.6;0.615;0.0;1.6;0.08900000000000001;16.0;59.0;0.9943;3.58;0.52;9.9;5;3.2490000000000436;1.8519300000000374;1.0556001000000286
7.8;0.61;0.29;1.6;0.114;9.0;29.0;0.9974;3.26;1.56;9.1;5;0.6760000000000242;0.17576000000000946;0.04569760000000328
8.9;0.62;0.18;3.8;0.17600000000000002;52.0;145.0;0.9986;3.16;0.88;9.2;5;0.1959999999999879;0.02743999999999746;0.003841599999999526
8.9;0.62;0.19;3.9;0.17;51.0;148.0;0.9986;3.17;0.93;9.2;5;0.1959999999999879;0.02743999999999746;0.003841599999999526
8.5;0.28;0.56;1.8;0.092;35.0;103.0;0.9969;3.3;0.75;10.5;7;0.9609999999999949;0.2979099999999976;0.09235209999999901
8.1;0.56;0.28;1.7;0.368;16.0;56.0;0.9968;3.11;1.28;9.3;5;1.0239999999999876;0.32767999999999403;0.10485759999999747
7.4;0.59;0.08;4.4;0.086;6.0;29.0;0.9974;3.38;0.5;9.0;4;0.6760000000000242;0.17576000000000946;0.04569760000000328
7.9;0.32;0.51;1.8;0.341;17.0;56.0;0.9969;3.04;1.08;9.2;6;0.9609999999999949;0.2979099999999976;0.09235209999999901
8.9;0.22;0.48;1.8;0.077;29.0;60.0;0.9968;3.39;0.53;9.4;6;1.0239999999999876;0.32767999999999403;0.10485759999999747
7.6;0.39;0.31;2.3;0.08199999999999999;23.0;71.0;0.9982;3.52;0.65;9.7;5;0.3240000000000086;0.058320000000002314;0.010497600000000556
7.9;0.43;0.21;1.6;0.106;10.0;37.0;0.9966;3.17;0.91;9.5;5;1.1559999999999717;0.3930399999999856;0.1336335999999935
8.5;0.49;0.11;2.3;0.084;9.0;67.0;0.9968;3.17;0.53;9.4;5;1.0239999999999876;0.32767999999999403;0.10485759999999747
6.9;0.4;0.14;2.4;0.085;21.0;40.0;0.9968;3.43;0.63;9.7;6;1.0239999999999876;0.32767999999999403;0.10485759999999747
6.3;0.39;0.16;1.4;0.08;11.0;23.0;0.9955;3.34;0.56;9.3;5;2.0249999999999537;0.9112499999999687;0.41006249999998123
